,k_value,accuracy
0,1,78.20216049382715
1,6,93.13271604938271
2,11,96.18055555555556
3,16,97.2608024691358
4,21,95.9104938271605
5,26,95.2932098765432
6,31,95.1003086419753
7,36,94.79166666666666
8,41,94.79166666666666
9,46,94.59876543209876
10,51,94.44444444444444
11,56,94.79166666666666
12,61,94.86882716049382
13,66,94.7145061728395
14,71,94.67592592592592
15,76,94.67592592592592
16,81,94.79166666666666
17,86,95.21604938271605
18,91,95.25462962962963
19,96,95.2932098765432
20,101,95.06172839506173
21,106,95.02314814814815
22,111,95.25462962962963
23,116,95.2932098765432
24,121,95.25462962962963
25,126,95.56327160493827
26,131,95.64043209876543
27,136,95.64043209876543
28,141,95.3317901234568
29,146,95.44753086419753
30,151,95.25462962962963
31,156,95.1003086419753
32,161,95.06172839506173
33,166,94.94598765432099
34,171,94.94598765432099
35,176,94.86882716049382
36,181,94.7145061728395
37,186,94.79166666666666
38,191,94.44444444444444
39,196,94.32870370370371
