,parents,has_nurs,form,children,housing,finance,social,health,target
5826,pretentious,less_proper,incomplete,more,critical,inconv,slightly_prob,priority,priority
2014,usual,improper,completed,2,convenient,inconv,problematic,not_recom,not_recom
2308,usual,improper,incomplete,3,critical,convenient,slightly_prob,not_recom,not_recom
2367,usual,improper,incomplete,more,critical,inconv,nonprob,priority,priority
3574,usual,very_crit,complete,3,convenient,inconv,nonprob,not_recom,not_recom
2,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
9116,great_pret,proper,incomplete,1,critical,inconv,nonprob,recommended,priority
11309,great_pret,critical,complete,2,less_conv,convenient,problematic,recommended,spec_prior
726,usual,proper,foster,2,less_conv,convenient,problematic,priority,priority
9937,great_pret,less_proper,incomplete,1,convenient,convenient,nonprob,not_recom,not_recom
159,usual,proper,complete,3,critical,inconv,problematic,priority,priority
11159,great_pret,improper,foster,3,critical,convenient,nonprob,recommended,spec_prior
2439,usual,improper,foster,2,convenient,inconv,nonprob,priority,priority
8901,great_pret,proper,completed,1,critical,inconv,nonprob,priority,spec_prior
8289,pretentious,very_crit,incomplete,2,less_conv,inconv,nonprob,priority,spec_prior
9947,great_pret,less_proper,incomplete,1,convenient,inconv,slightly_prob,recommended,priority
7554,pretentious,critical,incomplete,more,critical,inconv,slightly_prob,priority,spec_prior
11593,great_pret,critical,completed,3,critical,convenient,nonprob,not_recom,not_recom
12277,great_pret,very_crit,complete,more,less_conv,convenient,nonprob,not_recom,not_recom
4300,usual,very_crit,foster,more,less_conv,inconv,problematic,not_recom,not_recom
5655,pretentious,less_proper,incomplete,1,critical,convenient,slightly_prob,priority,priority
7092,pretentious,critical,complete,more,less_conv,convenient,nonprob,priority,spec_prior
2174,usual,improper,incomplete,1,convenient,inconv,problematic,recommended,priority
10004,great_pret,less_proper,incomplete,2,convenient,inconv,problematic,recommended,spec_prior
2445,usual,improper,foster,2,convenient,inconv,problematic,priority,priority
